route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
71-20589,2019DE-1BUSWK-Weekday-10,50979644,"TARADALE",1,5623992,710032
55-20589,2019DE-1BUSWK-Weekday-10,50979645,"FALCONRIDGE",0,5624386,550021
55-20589,2019DE-1BUSWK-Weekday-10,50979646,"FALCONRIDGE",0,5624386,550021
55-20589,2019DE-1BUSWK-Weekday-10,50979647,"FALCONRIDGE",0,5624386,550021
55-20589,2019DE-1BUSWK-Weekday-10,50979648,"FALCONRIDGE",0,5624386,550021
55-20589,2019DE-1BUSWK-Weekday-10,50979649,"FALCONRIDGE",0,5624386,550021
55-20589,2019DE-1BUSWK-Weekday-10,50979650,"FALCONRIDGE",0,5624386,550021
71-20589,2019DE-1BUSWK-Weekday-10,50979651,"TARADALE",0,5623992,710025
71-20589,2019DE-1BUSWK-Weekday-10,50979652,"TARADALE",1,5623992,710032
21-20589,2019DE-1BUSWK-Weekday-10,50979653,"CASTLERIDGE",1,5623992,210021
71-20589,2019DE-1BUSWK-Weekday-10,50979654,"TARADALE",0,5623992,710025
71-20589,2019DE-1BUSWK-Weekday-10,50979655,"TARADALE",1,5623992,710032
55-20589,2019DE-1BUSWK-Weekday-10,50979656,"FALCONRIDGE",0,5623992,550021
21-20589,2019DE-1BUSWK-Weekday-10,50979657,"CASTLERIDGE",1,5623992,210021
21-20589,2019DE-1BUSWK-Weekday-10,50979658,"CASTLERIDGE",1,5624358,210021
71-20589,2019DE-1BUSWK-Weekday-10,50979659,"TARADALE",0,5623992,710025
71-20589,2019DE-1BUSWK-Weekday-10,50979660,"TARADALE",1,5623992,710032
21-20589,2019DE-1BUSWK-Weekday-10,50979661,"CASTLERIDGE",1,5623992,210021
71-20589,2019DE-1BUSWK-Weekday-10,50979662,"TARADALE",0,5624358,710025
71-20589,2019DE-1BUSWK-Weekday-10,50979663,"TARADALE",1,5624358,710032
55-20589,2019DE-1BUSWK-Weekday-10,50979664,"FALCONRIDGE",0,5624358,550021
21-20589,2019DE-1BUSWK-Weekday-10,50979665,"CASTLERIDGE",1,5624358,210021
71-20589,2019DE-1BUSWK-Weekday-10,50979666,"TARADALE",0,5624358,710025
71-20589,2019DE-1BUSWK-Weekday-10,50979667,"TARADALE",1,5624358,710032
55-20589,2019DE-1BUSWK-Weekday-10,50979668,"FALCONRIDGE",0,5624386,550021
55-20589,2019DE-1BUSWK-Weekday-10,50979669,"FALCONRIDGE",0,5624358,550021
21-20589,2019DE-1BUSWK-Weekday-10,50979670,"CASTLERIDGE",1,5624358,210021
55-20589,2019DE-1BUSWK-Weekday-10,50979671,"FALCONRIDGE",0,5624386,550021
55-20589,2019DE-1BUSWK-Weekday-10,50979672,"FALCONRIDGE",0,5624386,550021
71-20589,2019DE-1BUSWK-Weekday-10,50979673,"TARADALE",0,5623992,710025
71-20589,2019DE-1BUSWK-Weekday-10,50979674,"TARADALE",1,5623992,710032
21-20589,2019DE-1BUSWK-Weekday-10,50979675,"CASTLERIDGE",1,5623970,210021
21-20589,2019DE-1BUSWK-Weekday-10,50979676,"CASTLERIDGE",1,5623970,210021
